model,threshold,fp_cost,fn_cost,accuracy,balanced_accuracy,precision_1,recall_1,f1_1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,total_cost,avg_cost,scenario,fold
ContextualBandit_IPS_cost_1_10,0.5,1,10,0.48380624820865575,0.682677059292731,0.10699657276602859,0.9123307198859587,0.19153074966332487,0.18461398770802517,0.8243616988005217,0.3452372439328833,8848,10683,123,1280,11913,0.5690742333046718,cost_1_10,4
AutoTunedMLP,0.9256565656565656,1,1,0.9362250991257822,0.5761658599322131,0.5890052356020943,0.16037063435495366,0.25210084033613445,0.28459164205467047,0.8382291950647778,0.3720728060711346,19373,157,1178,225,1335,0.06377490087421775,cost_1_1,5
AutoTunedMLP,0.6187878787878788,1,10,0.8571155591649549,0.7643214981867179,0.2686480186480186,0.6571632216678546,0.3813857290589452,0.3570568490256583,0.8382291950647778,0.3720728060711346,17020,2510,481,922,7320,0.349687096928295,cost_1_10,5
LogisticRegression,0.9751515151515151,1,1,0.9366550422777433,0.578711717521411,0.599483204134367,0.16535994297933002,0.25921787709497207,0.2922336466113507,0.8264824042110043,0.3647534902713223,19375,155,1171,232,1326,0.06334495772225672,cost_1_1,5
LogisticRegression,0.5346464646464646,1,10,0.8719247121769454,0.7540652409309434,0.28784860557768926,0.6179615110477548,0.3927519818799547,0.3620317017588826,0.8264824042110043,0.3647534902713223,17385,2145,536,867,7505,0.3585248172741604,cost_1_10,5
MajorityClass,0.5,1,1,0.9329766397554101,0.5,0.0,0.0,0.0,0.0,0.5,0.06702336024458988,19530,0,1403,0,1403,0.06702336024458988,cost_1_1,5
MajorityClass,0.5,1,10,0.9329766397554101,0.5,0.0,0.0,0.0,0.0,0.5,0.06702336024458988,19530,0,1403,0,14030,0.6702336024458988,cost_1_10,5
MLP,0.9009090909090909,1,1,0.9363684135097693,0.5914584320994548,0.5753715498938429,0.1931575196008553,0.2892209178228389,0.3084247425963204,0.8399994854125404,0.37324237438862806,19330,200,1132,271,1332,0.06363158649023073,cost_1_1,5
MLP,0.6237373737373737,1,10,0.8660010509721492,0.7631294070675121,0.28161993769470406,0.6443335709194583,0.3919358335139822,0.3652230718672352,0.8399994854125404,0.37324237438862806,17224,2306,499,904,7296,0.34854058185639897,cost_1_10,5
ContextualBandit_cost_1_1,0.5,1,1,0.8197105049443463,0.7717299518003079,0.2293996804382561,0.7163221667854597,0.3475103734439834,0.3340685554600005,0.8176040187455818,0.265158882116323,16154,3376,398,1005,3774,0.18028949505565375,cost_1_1,5
